refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;updateTaskStatus;failedTask;422;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;updateTaskStatus;failedTask;397;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=onward;Lorg/apache/hadoop/mapred/JobTracker;updateTaskStatus;getTaskTracker;373;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;initTasks;getJobConf;250;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;initTasks;getStatus;250;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;obtainNewMapTask;findNewTask;530;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;obtainNewReduceTask;findNewTask;563;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;completedTask;isJobComplete;815;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=onward;Lorg/apache/hadoop/mapred/JobTracker;completedTask;markCompletedTaskAttempt;767;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;findNewTask;convertTrackerNameToHostName;677;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;findNewTask;getTrackerTaskFailures;673;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=onward;Lorg/apache/hadoop/mapred/JobTracker;completedTask;markCompletedTaskAttempt;820;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;failedTask;addTrackerTaskFailure;975;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;failedTask;isJobComplete;1012;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=onward;Lorg/apache/hadoop/mapred/JobTracker;failedTask;markCompletedTaskAttempt;981;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobTracker;getTaskToRun;createTaskEntry;692;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;compare;getStartTime;1503;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;compare;getPriority;1501;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;compare;getStartTime;1506;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;run;getProfile;356;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;run;getProfile;359;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;run;getProfile;370;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;run;getStatus;342;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;run;getFinishTime;342;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;shouldCloseForClosedJob;getStatus;296;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=onward;Lorg/apache/hadoop/mapred/JobTracker;run;getTaskTracker;190;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;run;failedTask;197;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;getTaskToRun;getProfile;678;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=onward;Lorg/apache/hadoop/mapred/JobTracker;run;lostTaskTracker;294;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
