
Ljava/util/TreeMap,Ljava/util/ArrayList,7,4
Ljava/util/TreeMap,Lorg/apache/hadoop/mapred/JobTracker,7,9
Ljava/util/TreeMap,Lorg/apache/hadoop/mapred/JobInProgress,3,10
Ljava/util/TreeMap,Ljava/util/TreeSet,2,5
Ljava/util/TreeMap,Ljava/util/LinkedHashMap,1,2
Ljava/util/ArrayList,Ljava/util/TreeMap,4,7
Ljava/util/ArrayList,Lorg/apache/hadoop/mapred/JobTracker,7,7
Ljava/util/ArrayList,Lorg/apache/hadoop/mapred/JobInProgress,4,8
Ljava/util/ArrayList,Ljava/util/LinkedHashMap,1,1
Lorg/apache/hadoop/mapred/JobTracker,Ljava/util/TreeMap,9,7
Lorg/apache/hadoop/mapred/JobTracker,Ljava/util/ArrayList,7,7
Lorg/apache/hadoop/mapred/JobTracker,Lorg/apache/hadoop/mapred/JobInProgress,8,8
Lorg/apache/hadoop/mapred/JobTracker,Ljava/util/TreeSet,2,3
Lorg/apache/hadoop/mapred/JobTracker,Ljava/util/LinkedHashMap,3,3
Lorg/apache/hadoop/mapred/JobInProgress,Ljava/util/TreeMap,10,3
Lorg/apache/hadoop/mapred/JobInProgress,Ljava/util/ArrayList,8,4
Lorg/apache/hadoop/mapred/JobInProgress,Lorg/apache/hadoop/mapred/JobTracker,8,8
Ljava/util/TreeSet,Ljava/util/TreeMap,5,2
Ljava/util/TreeSet,Lorg/apache/hadoop/mapred/JobTracker,3,2
Ljava/util/LinkedHashMap,Ljava/util/TreeMap,2,1
Ljava/util/LinkedHashMap,Ljava/util/ArrayList,1,1
Ljava/util/LinkedHashMap,Lorg/apache/hadoop/mapred/JobTracker,3,3
